id_pedido,direccion_entrega,ruta_asignada
PED-00173,"Glorieta de Tristán Marin 23, Santo Domingo",0
PED-00174,"Cuesta Elisa Barba 696 Apt. 13 , Daule",1
PED-00175,"Ronda Gilberto Priego 23, Machala",2
PED-00176,"Callejón de Ibán Pera 8 Piso 5 , Cuenca",2
PED-00177,"Alameda Adela Benito 15, Loja",2
PED-00178,"Paseo Tristán Palau 92 Piso 8 , Daule",1
PED-00179,"Alameda Bartolomé Cabello 26, Riobamba",3
PED-00180,"C. Luis Alegre 1, Ibarra",0
PED-00181,"Alameda Rosa María Expósito 4, Esmeraldas",0
PED-00182,"Avenida de Fabio Antúnez 94 Apt. 81 , Ibarra",0
PED-00183,"Via de Rosenda Ferrán 70, Quito - La Mariscal",0
PED-00184,"Pasaje Isidoro Pareja 20 Puerta 4 , Loja",2
PED-00185,"Acceso Matías Domingo 93 Puerta 5 , Durán",1
PED-00186,"Avenida de Dorotea Olmedo 1, Quito - Cumbayá",0
PED-00187,"Glorieta de Luisina Gallo 35, Guayaquil - Samborondón",1
PED-00188,"Glorieta Ibán Cruz 968 Puerta 7 , Manta",1
PED-00189,"Urbanización Joaquina Terrón 90 Piso 9 , Ambato",3
PED-00190,"Camino Nayara Viñas 765, Latacunga",3
PED-00191,"Paseo Mateo Sierra 473 Apt. 54 , Santo Domingo",0
PED-00192,"Cuesta Tecla Bejarano 983 Puerta 3 , Manta",1
PED-00193,"Plaza de Flavia Olivera 59, Cuenca",2
PED-00194,"Acceso Salomón Ripoll 681 Apt. 96 , Portoviejo",1
PED-00195,"Cañada Custodio Trujillo 58 Apt. 03 , Riobamba",3
PED-00196,"Alameda Gala Duarte 64, Esmeraldas",0
PED-00197,"Via de Carina Ribas 18 Apt. 91 , Loja",2
PED-00198,"Glorieta de Salvador Cañellas 70 Apt. 75 , Esmeraldas",0
PED-00199,"Paseo de Débora Lerma 95 Apt. 93 , Loja",2
PED-00200,"Cuesta Armando Cervantes 605, Portoviejo",1
